Station,Year,Rides
40010,2001,466261
40010,2002,491132
40010,2003,500034
40010,2004,484622
40010,2005,490057
40010,2006,500236
40010,2007,498727
40010,2008,561885
40010,2009,556101
40010,2010,582084
40010,2011,627245
40010,2012,643398
40010,2013,637692
40010,2014,638728
40010,2015,634972
40010,2016,626593
40010,2017,556823
40020,2001,1033308
40020,2002,991755
40020,2003,980590
40020,2004,967047
40020,2005,1012490
40020,2006,1080833
40020,2007,1135002
40020,2008,1222147
40020,2009,1144356
40020,2010,1148884
40020,2011,1167342
40020,2012,1209339
40020,2013,1228214
40020,2014,1278581
40020,2015,1266361
40020,2016,1169562
40020,2017,1086081
40030,2001,458010
40030,2002,420934
40030,2003,427404
40030,2004,362374
40030,2005,437854
40030,2006,483252
40030,2007,506438
40030,2008,540298
40030,2009,576987
40030,2010,646364
40030,2011,666457
40030,2012,671815
40030,2013,613586
40030,2014,606323
40030,2015,566019
40030,2016,480335
40030,2017,418337
40040,2001,2048702
40040,2002,1980468
40040,2003,1850062
40040,2004,1760618
40040,2005,1789102
40040,2006,1914069
40040,2007,1911875
40040,2008,2024944
40040,2009,2049581
40040,2010,1999507
40040,2011,2258148
40040,2012,2213125
40040,2013,2220532
40040,2014,2288353
40040,2015,2193097
40040,2016,2238073
40040,2017,2070160
40050,2001,1145193
40050,2002,1173536
40050,2003,1209494
40050,2004,1172292
40050,2005,1187135
40050,2006,1188783
40050,2007,1185434
40050,2008,1265292
40050,2009,1243062
40050,2010,1226010
40050,2011,1250004
40050,2012,1252978
40050,2013,1236190
40050,2014,1258199
40050,2015,1247161
40050,2016,1202570
40050,2017,1083107
40060,2001,1381391
40060,2002,1324648
40060,2003,1314027
40060,2004,1339591
40060,2005,1411679
40060,2006,1472875
40060,2007,1356445
40060,2008,1409874
40060,2009,1359557
40060,2010,1442370
40060,2011,1591313
40060,2012,1666681
40060,2013,1712665
40060,2014,1692059
40060,2015,1777563
40060,2016,1797652
40060,2017,1598512
40070,2001,2104328
40070,2002,2306778
40070,2003,2117439
40070,2004,2012181
40070,2005,2061309
40070,2006,1871982
40070,2007,1918788
40070,2008,2257670
40070,2009,2118084
40070,2010,2234313
40070,2011,2343410
40070,2012,2419168
40070,2013,2459472
40070,2014,2357552
40070,2015,2401761
40070,2016,2319469
40070,2017,2022698
40080,2001,1430588
40080,2002,1457916
40080,2003,1438621
40080,2004,1372867
40080,2005,1435221
40080,2006,1493220
40080,2007,1453574
40080,2008,1602522
40080,2009,1577570
40080,2010,1632450
40080,2011,1719609
40080,2012,1771308
40080,2013,1796455
40080,2014,1823423
40080,2015,1846676
40080,2016,1862480
40080,2017,1612175
40090,2001,620203
40090,2002,595012
40090,2003,586427
40090,2004,551539
40090,2005,563395
40090,2006,603841
40090,2007,697486
40090,2008,10156
40090,2009,570840
40090,2010,649184
40090,2011,711264
40090,2012,766632
40090,2013,794438
40090,2014,812081
40090,2015,835779
40090,2016,897249
40090,2017,809331
40100,2001,1412372
40100,2002,1361232
40100,2003,1285846
40100,2004,1213749
40100,2005,1218797
40100,2006,1269427
40100,2007,1251869
40100,2008,1311017
40100,2009,1362351
40100,2010,1379730
40100,2011,1532207
40100,2012,1326925
40100,2013,1523343
40100,2014,1655567
40100,2015,1636238
40100,2016,1596278
40100,2017,1402261
40120,2001,627453
40120,2002,653131
40120,2003,680253
40120,2004,683380
40120,2005,727259
40120,2006,769444
40120,2007,803537
40120,2008,834244
40120,2009,790016
40120,2010,794260
40120,2011,860031
40120,2012,911848
40120,2013,936192
40120,2014,936665
40120,2015,983098
40120,2016,984456
40120,2017,886334
40130,2001,366546
40130,2002,340257
40130,2003,333844
40130,2004,312378
40130,2005,320010
40130,2006,339369
40130,2007,340624
40130,2008,348071
40130,2009,337875
